key,records,groups_size_gt1,records_in_groups_gt1,mixed_entity_groups,records_in_mixed_groups,pct_records_in_mixed_groups
name_raw + address_raw,9975336,43037,87366,0,0,0.0
name_norm + address_norm,9975336,77601,157863,0,0,0.0
name_clean + address_clean,9975336,114605,233816,1,2,0.0
folded name_clean + folded address_clean,9975336,136899,280015,1,2,0.0
name_base + address_clean,9975114,252012,524238,7,14,0.0
sorted name_tokens + sorted address_tokens,9975336,201854,414993,1,2,0.0
name_raw only,10320219,595233,2233225,314407,1596114,15.466
name_clean only,10320219,984772,3671756,391807,2299281,22.279
name_base only,10319997,1193380,5547361,377060,3339955,32.364
