group,n,columns
identity/raw,7,"entity_id:String, split:String, source:String, business_name_raw:String, business_address_raw:String, country_raw:String, country_clean:String"
name representations,8,"name_norm:String, name_clean:String, name_tokens:List(String), name_base:String, name_legal_forms:List(String), name_domain:String, name_numbers:List(String), name_script:String"
address representations,7,"address_norm:String, address_clean:String, address_tokens:List(String), address_segments:List(String), address_numbers:List(String), postal_code_candidate:String, address_script:String"
flags (bool),30,"name_missing:Boolean, address_missing:Boolean, country_missing:Boolean, name_is_upper:Boolean, name_is_lower:Boolean, name_has_digits:Boolean, name_has_non_latin:Boolean, name_has_latin_diacritics:Boolean, name_has_domain:Boolean, name_is_domain_only:Boolean, name_has_special_chars:Boolean, name_has_brackets:Boolean, name_has_leading_junk:Boolean, name_has_repeated_whitespace:Boolean, name_has_encoding_artifact:Boolean, name_has_legal_form:Boolean, name_legal_at_start:Boolean, name_legal_only:Boolean, name_clean_empty:Boolean, address_is_upper:Boolean, address_has_digits:Boolean, address_has_non_latin:Boolean, address_has_latin_diacritics:Boolean, address_has_special_chars:Boolean, address_has_encoding_artifact:Boolean, address_has_placeholder:Boolean, address_placeholder_only:Boolean, address_has_zero_padded_number:Boolean, address_has_landmark:Boolean, address_has_care_of:Boolean"
counts,3,"name_n_tokens:UInt16, address_n_tokens:UInt16, address_n_segments:UInt16"
