slice,true_pairs,pct_of_pairs,A,B,C,D,E,E',F,G,UNION all,"UNION A,B,C,E'30,F30,G30 (pre-study guess)"
nonlatin_match_name,55194,7.22,0.0,1.07,1.07,0.0,5.22,26.06,15.01,79.72,84.4,88.71
domain_only_name,34439,4.51,0.0,0.0,62.37,0.68,66.83,84.5,40.34,91.27,98.81,99.09
no_shared_name_token,109443,14.32,0.0,0.0,22.92,0.0,28.7,45.33,27.67,85.77,90.99,93.41
missing_address,33863,4.43,27.17,58.89,59.0,44.04,80.0,80.02,0.0,0.0,88.47,90.64
reordered_tokens,44114,5.77,0.0,60.39,60.39,48.94,84.49,95.26,38.79,87.86,99.77,99.81
